origin,flights,delay_rate,avg_delay_mins
ABQ,2280,0.165350877192982,13.3092105263158
ATL,25007,0.201823489422962,12.7663854120846
AUS,7508,0.241342567927544,16.0362280234417
BNA,9505,0.253445554971068,16.2814308258811
BOS,11751,0.275891413496724,21.4413241426262
BUR,2441,0.222859483818107,14.3457599344531
BWI,8141,0.193465176268272,10.7661220980224
CHS,2040,0.21421568627451,18.3392156862745
CLE,3293,0.187974491345278,14.8123291831157
CLT,15245,0.19986880944572,13.8735979009511
CMH,3829,0.196918255419169,14.3933141812484
CVG,2847,0.192483315770987,12.8619599578504
DAL,5762,0.253037139881985,15.8361679972232
DCA,11633,0.241554199260724,15.9119745551448
DEN,26507,0.200399894367526,11.6123288188026
DFW,25416,0.26333805476865,18.0092067988669
DTW,10347,0.154537547115106,11.2171643954769
EWR,10032,0.3021331738437,19.9415869218501
FLL,6357,0.203555136070473,14.2518483561428
HNL,4174,0.140632486823191,9.69645424053665
HOU,4659,0.229233741146169,13.1034556771839
IAD,4625,0.160432432432432,11.3524324324324
IAH,9636,0.204441677044417,14.4461394769614
IND,4116,0.176627793974733,13.4492225461613
JAX,2297,0.184153243360906,12.9995646495429
JFK,8363,0.271314121726653,19.9713021642951
LAS,14802,0.24037292257803,16.031820024321
LAX,14832,0.178870010787487,13.3905070118662
LGA,11015,0.351157512482978,25.1679527916478
MCI,4028,0.20506454816286,13.2266633565045
MCO,12611,0.253905320751725,19.0900800888114
MDW,6257,0.206169090618507,10.7839220073518
MEM,2172,0.179558011049724,12.5897790055249
MIA,7936,0.233996975806452,17.4444304435484
MKE,2452,0.212071778140294,17.9090538336052
MSP,9175,0.160980926430518,10.5674114441417
MSY,4473,0.220210149787615,13.6277665995976
OAK,2627,0.213932242101256,12.2565664255805
OKC,2009,0.18516674962668,13.5216525634644
OMA,2102,0.163177925784967,10.7621313035205
ONT,2182,0.19019248395967,13.1833180568286
ORD,29795,0.263366336633663,18.1350562174862
PBI,2148,0.228584729981378,18.75
PDX,5210,0.187715930902111,11.3598848368522
PHL,8933,0.233404231501175,17.7878652188515
PHX,15802,0.222566763700797,14.3683710922668
PIT,3661,0.176727670035509,12.0166621141765
RDU,4695,0.2185303514377,15.8747603833866
RSW,2262,0.195844385499558,15.3700265251989
SAN,8189,0.220173403345952,14.8373427768958
SAT,3467,0.171618113642919,12.6982982405538
SDF,2001,0.16591704147926,11.7351324337831
SEA,12957,0.18044300378174,11.5276684417689
SFO,11959,0.210887197926248,14.0418931348775
SJC,3599,0.196443456515699,11.2170047235343
SJU,2114,0.214758751182592,15.6825922421949
SLC,9442,0.148591400127092,9.91431900021182
SMF,4593,0.197474417591988,11.7992597430873
SNA,3592,0.182071269487751,14.3335189309577
STL,5410,0.221626617375231,14.5606284658041
TPA,5820,0.215635738831615,15.8725085910653
