origin,carrier,flights,delay_rate,avg_delay_mins
ABQ,OO,377,0.114058355437666,14.657824933687
ABQ,WN,1132,0.201413427561837,11.5362190812721
ALB,WN,346,0.153179190751445,7.85260115606936
ANC,AS,1027,0.136319376825706,9.94741966893866
ASE,OO,421,0.28978622327791,24.5534441805226
ATL,AA,583,0.23156089193825,27.0120068610635
ATL,DL,18691,0.190198491252474,10.959392220855
ATL,F9,1557,0.287090558766859,23.4990366088632
ATL,NK,514,0.163424124513619,13.0661478599222
ATL,OO,531,0.16195856873823,15.0790960451977
ATL,UA,644,0.195652173913043,13.2375776397516
ATL,WN,1579,0.242558581380621,13.5250158328056
AUS,AA,963,0.257528556593977,23.1246105919003
AUS,DL,1056,0.192234848484848,16.9081439393939
AUS,OO,620,0.166129032258065,16.3274193548387
AUS,UA,919,0.239390642002176,17.3949945593036
AUS,WN,3337,0.26580761162721,13.4719808210968
AVL,G4,326,0.340490797546012,30.4723926380368
AZA,G4,529,0.160680529300567,12.8241965973535
BDL,AA,381,0.220472440944882,24.1154855643045
BDL,DL,366,0.10655737704918,8.71311475409836
BDL,WN,378,0.187830687830688,12.0238095238095
BHM,WN,424,0.214622641509434,12.7146226415094
BNA,AA,888,0.247747747747748,24.3074324324324
BNA,DL,790,0.175949367088608,14.8126582278481
BNA,NK,401,0.209476309226933,19.1670822942643
BNA,UA,540,0.272222222222222,17.9925925925926
BNA,WN,5199,0.265435660703982,14.4664358530487
BNA,YX,614,0.275244299674267,17.4348534201954
BOI,OO,848,0.123820754716981,7.80188679245283
BOI,WN,436,0.215596330275229,11.7866972477064
BOS,AA,1405,0.291814946619217,29.2505338078292
BOS,B6,3184,0.233354271356784,16.3040201005025
BOS,DL,2146,0.27260018639329,23.6132339235788
BOS,UA,1075,0.285581395348837,21.3590697674419
BOS,WN,698,0.375358166189112,26.0573065902579
BOS,YX,2473,0.301657905378083,21.7581884350991
BUF,WN,467,0.171306209850107,8.74518201284797
BUR,OO,308,0.227272727272727,16.1363636363636
BUR,WN,1452,0.234848484848485,14.6900826446281
BWI,AA,326,0.223926380368098,17.5276073619632
BWI,DL,448,0.0959821428571429,7.55580357142857
BWI,NK,381,0.149606299212598,8.18110236220472
BWI,UA,381,0.125984251968504,5.92913385826772
BWI,WN,6131,0.206980916653075,10.8448866416572
CHS,AA,526,0.214828897338403,23.4106463878327
CHS,DL,411,0.165450121654501,14.3503649635036
CHS,WN,323,0.235294117647059,11.1083591331269
CLE,AA,396,0.159090909090909,24.1186868686869
CLE,F9,494,0.163967611336032,12.9068825910931
CLE,UA,764,0.158376963350785,11.3756544502618
CLE,WN,460,0.169565217391304,9.38913043478261
CLE,YX,434,0.258064516129032,18.1198156682028
CLT,AA,9508,0.226546066470341,15.9366848969289
CLT,DL,458,0.131004366812227,8.46506550218341
CLT,MQ,524,0.120229007633588,7.29580152671756
CLT,OH,3271,0.134821155609905,7.69917456435341
CLT,YX,342,0.233918128654971,19.9619883040936
CMH,AA,349,0.151862464183381,17.269340974212
CMH,WN,1072,0.166044776119403,9.15205223880597
CMH,YX,1109,0.225428313796213,15.0441839495041
COS,OO,448,0.174107142857143,13.765625
COS,WN,411,0.182481751824818,9.94160583941606
CVG,DL,631,0.117274167987322,10.1790808240887
CVG,YX,473,0.260042283298097,16.8076109936575
DAL,WN,5602,0.255265976436987,15.892895394502
DAY,OH,398,0.165829145728643,12.6582914572864
DCA,AA,2389,0.247802427794056,21.3980745081624
DCA,B6,560,0.326785714285714,24.6517857142857
DCA,DL,737,0.137042062415197,7.88195386702849
DCA,MQ,331,0.151057401812689,8.58912386706949
DCA,OH,3186,0.252040175768989,15.0376647834275
DCA,UA,563,0.220248667850799,11.0941385435169
DCA,WN,1326,0.257918552036199,14.2187028657617
DCA,YX,2269,0.243278977523138,15.377258704275
DEN,AA,733,0.204638472032742,21.8922237380628
DEN,DL,958,0.154488517745303,14.4363256784969
DEN,F9,2077,0.185363505055368,12.5551275878671
DEN,OO,6084,0.135272846811308,8.62442472057857
DEN,UA,8835,0.168534238822864,9.40271646859083
DEN,WN,7468,0.298339582217461,14.771558650241
DFW,AA,12768,0.322211779448622,22.4409461152882
DFW,DL,996,0.215863453815261,15.863453815261
DFW,F9,872,0.237385321100917,15.0481651376147
DFW,MQ,5624,0.175853485064011,10.3748221906117
DFW,NK,447,0.196868008948546,14.2885906040268
DFW,OH,1509,0.172299536116634,15.2259774685222
DFW,OO,2158,0.244207599629286,17.2442075996293
DFW,UA,822,0.272506082725061,16.2639902676399
DTW,AA,390,0.128205128205128,14.1307692307692
DTW,DL,5047,0.144244105409154,9.62888844858332
DTW,NK,948,0.160337552742616,11.4651898734177
DTW,OO,2427,0.138030490317264,10.4367531932427
DTW,WN,380,0.223684210526316,10.7210526315789
DTW,YX,482,0.192946058091286,13.3983402489627
ELP,WN,762,0.177165354330709,9.82677165354331
EWR,AA,494,0.232793522267206,22.4311740890688
EWR,B6,355,0.270422535211268,18.5154929577465
EWR,DL,568,0.318661971830986,23.455985915493
EWR,NK,705,0.30354609929078,21.7304964539007
EWR,UA,5416,0.326255539143279,21.5710856720827
EWR,YX,1995,0.243609022556391,13.3177944862155
FAT,OO,674,0.194362017804154,14.1409495548961
FLL,AA,465,0.16989247311828,21.7913978494624
FLL,B6,1317,0.214882308276386,13.037205770691
FLL,DL,904,0.180309734513274,15.1028761061947
FLL,NK,1758,0.217861205915813,12.622866894198
FLL,UA,617,0.145867098865478,10.6839546191248
FLL,WN,863,0.206257242178447,12.0243337195829
FSD,OO,313,0.236421725239617,15.1373801916933
FWA,OO,388,0.275773195876289,22.4252577319588
GEG,OO,561,0.176470588235294,11.9928698752228
HNL,HA,2373,0.188790560471976,12.4976822587442
HNL,UA,354,0.107344632768362,10.9180790960452
HNL,WN,885,0.0429378531073446,2.02824858757062
HOU,WN,4345,0.23337169159954,12.9367088607595
HPN,B6,441,0.197278911564626,14.4716553287982
IAD,UA,2837,0.161085653859711,10.6986253084244
IAD,YX,770,0.136363636363636,11.2688311688312
IAH,AA,599,0.210350584307179,25.6627712854758
IAH,DL,698,0.199140401146132,19.2521489971347
IAH,F9,348,0.272988505747126,26.6264367816092
IAH,NK,581,0.180722891566265,12.9380378657487
IAH,OO,1065,0.168075117370892,13.1953051643192
IAH,UA,5941,0.206025921562027,12.1521629355327
ICT,OO,303,0.217821782178218,17.3762376237624
IDA,OO,301,0.205980066445183,22.1262458471761
IND,AA,590,0.155932203389831,19.1084745762712
IND,DL,383,0.0783289817232376,6.13054830287206
IND,UA,307,0.179153094462541,9.04885993485342
IND,WN,1127,0.206743566992014,11.8580301685892
IND,YX,1012,0.199604743083004,12.7282608695652
ITO,HA,358,0.170391061452514,8.60614525139665
JAX,AA,669,0.188340807174888,14.4200298953662
JAX,DL,388,0.13659793814433,8.90463917525773
JAX,UA,339,0.126843657817109,10.3893805309735
JAX,WN,406,0.16256157635468,9.72906403940887
JFK,AA,1144,0.25,18.7945804195804
JFK,AS,326,0.368098159509202,22.3957055214724
