ORIGIN,flights,delay_rate,mean_delay,median_delay,p90,p95,p99
SAN,8189,0.2201734033459519,14.837342776895836,0.0,41.0,70.0,180.35999999999967
BWI,8141,0.1934651762682717,10.766122098022356,0.0,31.0,54.0,133.0
MIA,7936,0.23399697580645162,17.444430443548388,0.0,49.0,88.0,209.0
AUS,7508,0.24134256792754397,16.036228023441662,0.0,43.0,76.0,203.9300000000003
FLL,6357,0.20355513607047349,14.251848356142835,0.0,40.0,73.19999999999982,181.4399999999996
MDW,6257,0.20616909061850727,10.783922007351766,0.0,32.0,56.0,122.0
TPA,5820,0.21563573883161513,15.872508591065293,0.0,41.0,83.0,217.0
DAL,5762,0.2530371398819854,15.836167997223187,0.0,46.0,80.0,188.39000000000033
STL,5410,0.22162661737523107,14.560628465804067,0.0,38.0,71.0,183.90999999999985
PDX,5210,0.18771593090211133,11.359884836852208,0.0,29.0,52.0,148.0
RDU,4695,0.2185303514376997,15.874760383386581,0.0,43.0,78.0,200.0
HOU,4659,0.2292337411461687,13.103455677183945,0.0,36.19999999999982,66.0,151.84000000000015
IAD,4625,0.16043243243243244,11.352432432432433,0.0,28.0,56.0,175.28000000000065
SMF,4593,0.1974744175919878,11.799259743087307,0.0,33.0,64.0,148.07999999999993
MSY,4473,0.22021014978761458,13.627766599597585,0.0,42.0,73.0,171.0
HNL,4174,0.14063248682319118,9.696454240536655,0.0,21.0,40.34999999999991,161.80999999999858
IND,4116,0.17662779397473274,13.449222546161321,0.0,32.0,67.25,178.8499999999999
MCI,4028,0.20506454816286,13.226663356504469,0.0,33.0,61.0,172.6500000000001
CMH,3829,0.1969182554191695,14.393314181248368,0.0,35.0,71.0,197.4399999999996
PIT,3661,0.17672767003550943,12.016662114176455,0.0,34.0,68.0,177.0
SJC,3599,0.1964434565156988,11.217004723534314,0.0,33.0,58.0,142.01999999999998
SNA,3592,0.18207126948775057,14.333518930957684,0.0,35.90000000000009,70.0,192.0
SAT,3467,0.17161811364291896,12.698298240553793,0.0,31.0,67.69999999999982,202.36000000000058
CLE,3293,0.18797449134527786,14.8123291831157,0.0,38.0,76.39999999999964,185.0
CVG,2847,0.192483315770987,12.861959957850368,0.0,32.0,67.69999999999982,172.15999999999985
OAK,2627,0.2139322421012562,12.25656642558051,0.0,36.0,62.0,147.0
MKE,2452,0.21207177814029363,17.90905383360522,0.0,44.0,93.0,223.42999999999847
BUR,2441,0.22285948381810733,14.345759934453094,0.0,42.0,83.0,162.0
JAX,2297,0.18415324336090552,12.999564649542881,0.0,35.0,65.0,185.27999999999975
ABQ,2280,0.16535087719298244,13.30921052631579,0.0,30.0,62.04999999999973,202.52000000000044
RSW,2262,0.1958443854995579,15.37002652519894,0.0,41.0,86.94999999999982,225.5599999999995
ONT,2182,0.19019248395967003,13.183318056828597,0.0,32.0,62.0,169.3800000000001
MEM,2172,0.17955801104972377,12.589779005524862,0.0,30.0,61.0,179.28999999999996
PBI,2148,0.22858472998137802,18.75,0.0,60.0,103.0,231.2400000000016
SJU,2114,0.21475875118259224,15.682592242194891,0.0,36.0,65.69999999999982,197.08999999999924
OMA,2102,0.1631779257849667,10.762131303520457,0.0,25.0,50.0,146.98999999999978
CHS,2040,0.2142156862745098,18.33921568627451,0.0,48.0,87.04999999999995,272.6399999999976
OKC,2009,0.18516674962667995,13.52165256346441,0.0,36.0,74.0,182.0
SDF,2001,0.16591704147926037,11.735132433783109,0.0,30.0,64.0,172.0
BOI,1929,0.1456713322965267,10.286677034733023,0.0,23.200000000000045,48.0,135.0
BDL,1868,0.18843683083511778,14.640256959314776,0.0,33.0,62.649999999999864,203.3199999999997
OGG,1831,0.1616602949208083,10.228836701256144,0.0,25.0,45.5,126.10000000000014
BUF,1790,0.18491620111731844,13.553072625698324,0.0,33.100000000000136,62.549999999999955,166.2099999999989
GRR,1697,0.18680023571007662,12.275191514437243,0.0,33.0,60.0,180.23999999999978
ORF,1688,0.17654028436018956,12.905805687203792,0.0,34.0,69.0,204.38999999999965
SAV,1685,0.18694362017804153,15.626706231454007,0.0,36.0,72.79999999999995,255.40000000000327
RIC,1609,0.22436295835922934,18.083903045369794,0.0,48.200000000000045,93.59999999999991,234.84000000000015
TUL,1585,0.19116719242902208,13.589905362776026,0.0,35.0,70.79999999999995,199.48000000000025
RNO,1545,0.20258899676375405,16.406472491909383,0.0,38.0,78.0,230.55999999999995
TUS,1513,0.15928618638466624,13.504957038995373,0.0,37.0,74.0,211.71999999999775
GEG,1502,0.170439414114514,11.390812250332889,0.0,29.90000000000009,53.950000000000045,156.97000000000003
BHM,1450,0.16689655172413792,10.333103448275862,0.0,30.100000000000136,61.0,144.07999999999993
ELP,1424,0.1720505617977528,12.03441011235955,0.0,32.700000000000045,60.0,185.6199999999999
PVD,1376,0.18313953488372092,16.242732558139537,0.0,33.5,65.0,178.75
DSM,1357,0.17833456153279292,12.274134119380987,0.0,29.0,59.600000000000136,203.76000000000022
LGB,1350,0.1562962962962963,9.188148148148148,0.0,25.100000000000136,49.0,139.03999999999996
ANC,1327,0.14318010550113036,10.355689525244914,0.0,24.0,48.0,184.4000000000001
MSN,1265,0.18893280632411066,16.808695652173913,0.0,38.0,80.39999999999986,245.4799999999982
SRQ,1260,0.14206349206349206,13.08015873015873,0.0,24.0,62.0,213.74000000000115
TYS,1245,0.26345381526104417,20.35020080321285,0.0,56.0,92.79999999999995,274.55999999999995
PWM,1224,0.190359477124183,15.387254901960784,0.0,30.0,64.0,189.07999999999993
PSP,1221,0.17854217854217855,14.34889434889435,0.0,39.0,65.0,187.39999999999986
FAT,1178,0.19185059422750425,13.238539898132428,0.0,34.0,74.0,174.60000000000036
MYR,1168,0.18236301369863014,16.222602739726028,0.0,39.0,85.64999999999986,241.32999999999993
COS,1161,0.1731266149870801,12.167097329888028,0.0,32.0,57.0,153.20000000000164
KOA,1152,0.14322916666666666,9.82204861111111,0.0,22.0,44.450000000000045,164.49
GSP,1148,0.1681184668989547,11.869337979094077,0.0,34.0,66.94999999999959,187.23999999999978
LIH,1126,0.1172291296625222,8.117229129662523,0.0,16.0,25.0,93.5
XNA,1113,0.1734052111410602,10.738544474393532,0.0,30.0,63.399999999999864,148.75999999999976
ALB,1106,0.18806509945750452,11.613019891500905,0.0,31.5,55.0,153.95000000000005
PNS,1105,0.16018099547511314,17.242533936651583,0.0,29.600000000000023,69.79999999999995,173.5600000000004
LIT,1105,0.18099547511312217,13.20814479638009,0.0,32.0,63.0,207.1200000000008
AVL,997,0.24674022066198595,20.1765295887663,0.0,51.0,89.39999999999986,257.03999999999814
GSO,982,0.2209775967413442,16.915478615071283,0.0,47.0,89.89999999999986,262.0
ICT,935,0.1657754010695187,13.423529411764706,0.0,28.0,59.299999999999955,170.27999999999975
LEX,913,0.2004381161007667,16.83789704271632,0.0,39.0,73.59999999999991,212.76
VPS,906,0.1479028697571744,9.828918322295806,0.0,24.0,54.0,165.900000000001
SYR,886,0.19074492099322798,13.533860045146726,0.0,34.0,65.75,172.14999999999998
HPN,870,0.21839080459770116,17.344827586206897,0.0,45.0,72.54999999999995,268.70999999999776
SFB,853,0.283704572098476,20.433763188745605,0.0,60.0,95.0,188.1600000000003
BZN,841,0.13912009512485138,9.269916765755054,0.0,22.0,42.0,156.0
MAF,799,0.1739674593241552,14.533166458072591,0.0,41.0,82.29999999999973,214.05999999999995
ROC,786,0.1895674300254453,14.376590330788805,0.0,30.5,75.75,213.24999999999966
EUG,745,0.14496644295302014,14.601342281879194,0.0,25.600000000000023,72.39999999999986,262.4799999999982
SGF,743,0.23822341857335128,20.172274562584118,0.0,51.0,90.79999999999995,336.1600000000001
SBA,732,0.17759562841530055,13.293715846994536,0.0,38.0,73.69999999999959,190.58999999999935
SBN,713,0.20757363253856942,14.340813464235625,0.0,39.80000000000007,78.19999999999993,187.63999999999987
PIE,713,0.20196353436185133,12.8835904628331,0.0,41.600000000000136,67.39999999999998,134.39999999999998
ECP,708,0.16807909604519775,9.851694915254237,0.0,31.0,57.94999999999993,118.5799999999997
CID,699,0.17739628040057226,11.349070100143061,0.0,31.200000000000045,59.10000000000002,128.0
HSV,697,0.19655667144906744,12.081779053084649,0.0,39.39999999999998,65.0,146.07999999999993
DAY,686,0.14723032069970846,11.415451895043732,0.0,34.0,66.75,171.5499999999996
ILM,675,0.20592592592592593,14.979259259259258,0.0,49.0,75.29999999999995,185.8599999999999
FSD,661,0.24205748865355523,20.057488653555218,0.0,42.0,92.0,267.79999999999995
BTV,658,0.25835866261398177,22.306990881458965,0.0,59.30000000000007,113.29999999999995,314.86999999999955
ATW,605,0.1834710743801653,13.122314049586777,0.0,36.60000000000002,74.79999999999995,186.92000000000007
PGD,578,0.12975778546712802,7.513840830449827,0.0,22.300000000000068,42.0,119.69000000000005
FWA,571,0.28546409807355516,22.896672504378284,0.0,55.0,96.5,326.99999999999545
LBB,546,0.15934065934065933,11.183150183150182,0.0,29.5,62.75,180.19999999999982
EYW,542,0.15867158671586715,13.81549815498155,0.0,35.80000000000007,62.94999999999993,253.34000000000083
RDM,540,0.13518518518518519,7.588888888888889,0.0,21.0,42.049999999999955,121.93000000000018
PSC,538,0.11895910780669144,9.046468401486988,0.0,16.0,38.0,193.63
AZA,529,0.16068052930056712,12.824196597353497,0.0,28.19999999999999,72.3999999999997,199.76000000000022
CAE,528,0.17803030303030304,12.596590909090908,0.0,37.30000000000001,56.64999999999998,167.49000000000024
FAR,521,0.16122840690978887,12.092130518234166,0.0,29.0,54.0,153.99999999999955
MHT,516,0.15891472868217055,9.021317829457365,0.0,27.5,47.5,128.35000000000025
CHA,501,0.20958083832335328,15.796407185628743,0.0,45.0,65.0,228.0
JAN,498,0.17670682730923695,10.508032128514056,0.0,30.30000000000001,56.0,169.50999999999954
SHV,497,0.20724346076458752,24.935613682092555,0.0,47.0,126.19999999999993,519.3600000000001
ITO,496,0.12903225806451613,6.421370967741935,0.0,16.0,31.25,83.05000000000001
TVC,483,0.2732919254658385,22.389233954451345,0.0,55.0,93.0,316.3400000000001
SBP,476,0.23949579831932774,19.252100840336134,0.0,53.5,101.75,235.5
MDT,467,0.20770877944325483,16.775160599571734,0.0,42.400000000000034,70.0,204.53999999999922
PIA,465,0.20430107526881722,15.081720430107527,0.0,42.0,77.79999999999995,206.48000000000093
BGR,462,0.21428571428571427,16.166666666666668,0.0,36.80000000000007,65.84999999999997,184.16999999999996
ASE,421,0.28978622327790976,24.553444180522565,0.0,75.0,122.0,209.8
SGU,416,0.13942307692307693,9.947115384615385,0.0,28.0,50.25,200.55000000000052
BIL,415,0.12771084337349398,12.937349397590362,0.0,22.600000000000023,52.299999999999955,280.50000000000034
AMA,415,0.14698795180722893,13.28433734939759,0.0,28.600000000000023,71.49999999999977,197.08000000000038
MFR,414,0.178743961352657,13.92512077294686,0.0,27.69999999999999,59.349999999999966,195.48000000000002
JAC,404,0.23267326732673269,15.680693069306932,0.0,43.69999999999999,98.69999999999993,171.36999999999938
RAP,401,0.19201995012468828,12.531172069825436,0.0,28.0,50.0,219.0
BTR,401,0.1596009975062344,18.1571072319202,0.0,33.0,88.0,314.0
GRB,400,0.175,9.5125,0.0,25.100000000000023,54.049999999999955,103.13999999999987
MRY,399,0.17293233082706766,15.253132832080201,0.0,28.19999999999999,72.69999999999976,207.7599999999984
GJT,396,0.20454545454545456,11.866161616161616,0.0,24.0,41.0,145.6500000000006
STS,395,0.18227848101265823,13.79240506329114,0.0,35.60000000000002,73.29999999999995,197.06
CAK,379,0.20052770448548812,16.543535620052772,0.0,40.0,55.2999999999999,215.75999999999533
TLH,370,0.14864864864864866,14.245945945945946,0.0,28.100000000000023,70.55000000000001,267.2300000000001
MFE,366,0.16939890710382513,12.240437158469945,0.0,42.5,68.0,189.40000000000055
MSO,364,0.15934065934065933,12.057692307692308,0.0,25.69999999999999,54.099999999999795,211.88000000000056
IDA,363,0.21487603305785125,21.578512396694215,0.0,45.80000000000001,101.79999999999995,428.3199999999997
JNU,361,0.1329639889196676,9.86426592797784,0.0,19.0,38.0,217.1999999999997
SAF,359,0.21448467966573817,14.061281337047355,0.0,44.19999999999999,84.79999999999973,166.42000000000002
ISP,356,0.1544943820224719,11.76685393258427,0.0,30.5,67.25,178.89999999999998
MLI,352,0.2215909090909091,15.553977272727273,0.0,49.0,74.44999999999999,239.45000000000005
DRO,342,0.19298245614035087,13.619883040935672,0.0,31.900000000000034,63.399999999999864,206.21999999999855
CRP,339,0.13274336283185842,9.050147492625369,0.0,22.0,38.099999999999966,162.44000000000005
HRL,335,0.12835820895522387,7.874626865671642,0.0,23.600000000000023,40.0,99.2800000000002
FCA,335,0.14029850746268657,10.265671641791045,0.0,22.0,45.10000000000008,99.26000000000028
BIS,320,0.15,13.19375,0.0,28.100000000000023,57.05000000000001,121.29000000000002
COU,308,0.23376623376623376,18.334415584415584,0.0,35.30000000000001,86.64999999999998,171.79000000000002
FNT,298,0.23825503355704697,20.258389261744966,0.0,60.60000000000002,104.0,216.1999999999989
ABE,275,0.14909090909090908,9.014545454545454,0.0,24.599999999999994,44.200000000000045,129.07999999999993
GPT,265,0.1471698113207547,8.90188679245283,0.0,23.0,52.79999999999998,132.8800000000001
GNV,261,0.13793103448275862,9.53639846743295,0.0,22.0,60.0,158.99999999999966
BFL,251,0.14741035856573706,11.139442231075698,0.0,31.0,82.5,155.5
CRW,249,0.18875502008032127,17.694779116465863,0.0,29.400000000000034,68.19999999999987,337.5200000000018
FAI,247,0.15384615384615385,10.963562753036438,0.0,24.400000000000006,41.49999999999994,175.69999999999996
LNK,242,0.19834710743801653,11.52892561983471,0.0,37.900000000000006,65.94999999999999,145.03000000000006
DAB,233,0.0944206008583691,6.2703862660944205,0.0,9.800000000000011,27.799999999999955,153.88000000000045
LFT,228,0.16666666666666666,12.131578947368421,0.0,30.0,82.54999999999939,153.10999999999993
STT,222,0.0945945945945946,7.666666666666667,0.0,14.0,42.799999999999955,147.92999999999947
MLB,220,0.17727272727272728,14.040909090909091,0.0,35.099999999999994,67.24999999999991,262.0200000000001
MOT,215,0.10232558139534884,5.246511627906977,0.0,14.599999999999994,33.0,92.59999999999985
ACY,214,0.13551401869158877,10.74766355140187,0.0,24.700000000000017,83.2999999999999,134.74
ROA,208,0.2644230769230769,24.408653846153847,0.0,66.0,118.19999999999982,258.1600000000001
MOB,205,0.13658536585365855,5.365853658536586,0.0,19.0,31.599999999999966,57.96000000000001
HHH,203,0.15763546798029557,13.714285714285714,0.0,37.400000000000034,70.49999999999989,289.8399999999984
XWA,200,0.15,9.75,0.0,22.19999999999999,75.34999999999988,119.18999999999983
MBS,197,0.20304568527918782,17.898477157360407,0.0,56.60000000000002,110.79999999999995,263.83999999999946
CPR,197,0.18274111675126903,15.213197969543147,0.0,31.400000000000006,57.399999999999864,310.5199999999997
PVU,196,0.12755102040816327,14.556122448979592,0.0,25.5,58.5,286.70000000000084
BLI,192,0.140625,10.307291666666666,0.0,34.70000000000002,74.39999999999986,136.72000000000003
KTN,182,0.09340659340659341,12.137362637362637,0.0,14.0,33.94999999999999,296.69999999999993
ACV,180,0.24444444444444444,29.366666666666667,0.0,44.69999999999996,88.39999999999986,1009.9300000000003
DLH,180,0.1388888888888889,12.327777777777778,0.0,21.0,39.04999999999998,216.7500000000022
CHO,177,0.1807909604519774,13.0,0.0,34.80000000000001,67.59999999999997,201.52000000000044
MGM,177,0.23728813559322035,20.056497175141242,0.0,56.20000000000002,117.19999999999987,259.7200000000014
LAN,170,0.12352941176470589,7.117647058823529,0.0,23.399999999999977,41.2999999999999,84.79000000000002
GTF,169,0.11834319526627218,14.420118343195266,0.0,20.0,42.1999999999999,207.43999999999988
AZO,169,0.16568047337278108,16.390532544378697,0.0,51.000000000000256,129.79999999999995,208.15999999999957
EVV,167,0.25149700598802394,20.892215568862277,0.0,63.400000000000006,101.79999999999995,254.3800000000002
SUN,163,0.10429447852760736,7.607361963190184,0.0,14.800000000000011,49.60000000000008,161.59999999999968
GRK,161,0.2111801242236025,15.614906832298137,0.0,55.0,74.0,213.80000000000004
BQN,158,0.2088607594936709,8.80379746835443,0.0,33.0,49.45000000000002,84.86000000000001
CMI,158,0.25316455696202533,19.810126582278482,0.0,68.30000000000001,104.30000000000001,213.22000000000037
MTJ,151,0.2185430463576159,19.91390728476821,0.0,30.0,65.0,390.0
FLG,150,0.22666666666666666,24.62,0.0,72.1,136.5999999999998,348.569999999999
TRI,146,0.21232876712328766,19.767123287671232,0.0,50.0,120.0,324.8500000000012
AVP,144,0.1597222222222222,7.361111111111111,0.0,27.400000000000034,46.39999999999998,79.24999999999983
HLN,143,0.1258741258741259,15.965034965034965,0.0,25.19999999999999,111.60000000000025,312.5200000000018
MHK,142,0.2605633802816901,20.04225352112676,0.0,60.200000000000045,122.89999999999975,224.20000000000027
BMI,142,0.19014084507042253,9.626760563380282,0.0,28.0,46.799999999999955,122.55000000000015
AGS,139,0.2014388489208633,12.568345323741006,0.0,31.200000000000003,42.39999999999992,214.92000000000053
ABI,139,0.18705035971223022,12.309352517985612,0.0,26.0,75.79999999999995,160.10000000000002
EGE,129,0.20930232558139536,23.46511627906977,0.0,33.60000000000001,50.19999999999999,130.32
LRD,127,0.1889763779527559,12.047244094488189,0.0,34.0,61.59999999999991,170.37999999999982
YUM,126,0.1349206349206349,15.571428571428571,0.0,27.0,65.75,243.0
MQT,122,0.2459016393442623,15.237704918032787,0.0,45.900000000000006,72.84999999999997,175.4399999999997
CLL,115,0.16521739130434782,18.26086956521739,0.0,39.60000000000001,115.29999999999991,234.01999999999998
BRO,114,0.11403508771929824,8.5,0.0,16.400000000000006,72.04999999999998,125.19000000000017
LCH,110,0.2,15.0,0.0,45.0,107.74999999999987,160.92999999999992
ELM,109,0.11009174311926606,8.990825688073395,0.0,15.400000000000006,65.79999999999993,103.72000000000003
HDN,108,0.1574074074074074,7.916666666666667,0.0,18.89999999999999,31.299999999999983,106.2199999999996
GFK,105,0.11428571428571428,3.3714285714285714,0.0,15.0,24.799999999999983,34.0
RST,96,0.3958333333333333,41.90625,6.0,138.5,199.5,417.2499999999997
SLN,93,0.16129032258064516,14.870967741935484,0.0,39.8,113.3999999999999,231.56
FSM,92,0.17391304347826086,10.282608695652174,0.0,30.200000000000045,55.15000000000002,127.06000000000012
TYR,91,0.24175824175824176,18.571428571428573,0.0,50.0,97.0,230.8999999999999
SIT,91,0.12087912087912088,9.164835164835164,0.0,15.0,20.5,181.3999999999997
ACT,91,0.18681318681318682,19.47252747252747,0.0,37.0,94.5,302.2999999999994
CWA,90,0.28888888888888886,17.988888888888887,0.0,53.80000000000007,76.84999999999998,156.63
AEX,89,0.20224719101123595,15.584269662921349,0.0,53.80000000000007,107.79999999999973,145.92000000000007
LCK,89,0.14606741573033707,9.50561797752809,0.0,24.0,43.39999999999995,144.36000000000058
MLU,88,0.14772727272727273,14.954545454545455,0.0,24.599999999999994,101.3999999999997,212.60999999999956
BLV,87,0.27586206896551724,25.402298850574713,0.0,56.400000000000006,87.70000000000003,256.1800000000004
GUC,85,0.2,12.152941176470588,0.0,34.20000000000002,45.999999999999986,141.31999999999914
LSE,85,0.17647058823529413,10.447058823529412,0.0,33.00000000000004,61.599999999999966,109.5999999999998
SJT,85,0.21176470588235294,26.03529411764706,0.0,79.20000000000019,142.79999999999993,341.55999999999915
LAW,84,0.2261904761904762,18.44047619047619,0.0,44.400000000000006,93.84999999999988,223.50000000000009
RFD,83,0.3253012048192771,35.55421686746988,0.0,71.79999999999998,108.69999999999989,389.4199999999936
GRI,80,0.1625,16.9,0.0,42.300000000000026,63.7999999999999,216.4499999999972
PAE,79,0.1518987341772152,7.8734177215189876,0.0,27.0,49.29999999999998,89.23999999999995
ABY,75,0.09333333333333334,13.08,0.0,14.0,83.99999999999991,206.88000000000096
ABR,70,0.02857142857142857,3.5285714285714285,0.0,0.0,0.5499999999999972,95.02000000000032
SPI,69,0.11594202898550725,6.130434782608695,0.0,17.200000000000003,42.79999999999998,54.439999999999884
ACK,68,0.2647058823529412,27.970588235294116,0.0,99.50000000000006,145.74999999999997,236.4899999999999
PRC,68,0.1323529411764706,10.470588235294118,0.0,23.60000000000001,77.74999999999997,156.52999999999992
STX,68,0.3088235294117647,37.588235294117645,0.0,78.50000000000003,112.6,488.71999999999815
PIR,67,0.14925373134328357,10.149253731343284,0.0,27.59999999999998,47.49999999999998,125.04000000000053
CIU,62,0.0967741935483871,5.82258064516129,0.0,2.8999999999999986,30.599999999999966,101.46000000000001
JST,62,0.04838709677419355,4.741935483870968,0.0,11.699999999999996,13.949999999999996,91.38000000000002
LWS,62,0.04838709677419355,5.096774193548387,0.0,5.899999999999999,8.949999999999996,117.87000000000002
JLN,62,0.24193548387096775,27.951612903225808,0.0,74.5,113.84999999999991,432.95000000000005
MGW,62,0.3387096774193548,36.29032258064516,0.0,163.2999999999999,198.54999999999995,251.89000000000004
RKS,62,0.22580645161290322,47.806451612903224,0.0,217.59999999999977,338.7499999999997,492.24
HOB,62,0.11290322580645161,12.64516129032258,0.0,19.59999999999998,51.649999999999885,224.66000000000005
SUX,62,0.1935483870967742,11.258064516129032,0.0,22.0,79.6499999999998,116.80000000000001
ADQ,62,0.24193548387096775,19.112903225806452,1.0,44.69999999999998,68.89999999999999,241.31
IMT,62,0.27419354838709675,26.64516129032258,0.0,105.79999999999993,160.34999999999994,294.94000000000005
ATY,62,0.12903225806451613,36.82258064516129,0.0,41.29999999999999,236.99999999999991,560.5300000000004
RIW,62,0.22580645161290322,42.16129032258065,0.0,166.09999999999997,286.6999999999997,509.57000000000005
ROW,62,0.11290322580645161,21.306451612903224,0.0,15.799999999999997,137.1999999999996,400.49000000000024
BTM,62,0.08064516129032258,5.612903225806452,0.0,10.0,32.79999999999998,87.59000000000005
ALO,61,0.29508196721311475,16.459016393442624,0.0,40.0,74.0,176.59999999999977
GGG,61,0.14754098360655737,21.475409836065573,0.0,30.0,91.0,347.3999999999999
CDV,61,0.08196721311475409,5.163934426229508,0.0,4.0,30.0,93.99999999999986
CYS,61,0.21311475409836064,13.360655737704919,0.0,27.0,35.0,191.7999999999996
TWF,61,0.01639344262295082,10.065573770491802,0.0,0.0,6.0,238.7999999999992
COD,61,0.2459016393442623,35.278688524590166,0.0,45.0,263.0,420.1999999999996
GUM,61,0.03278688524590164,1.1475409836065573,0.0,0.0,6.0,23.999999999999993
GCK,61,0.18032786885245902,17.18032786885246,0.0,48.0,137.0,235.2
YAK,60,0.08333333333333333,9.433333333333334,0.0,5.100000000000001,19.34999999999998,227.72999999999948
CMX,60,0.13333333333333333,18.866666666666667,0.0,21.200000000000003,44.54999999999991,402.0399999999995
WRG,60,0.1,7.75,0.0,7.000000000000014,42.04999999999994,154.64999999999978
SHR,60,0.11666666666666667,11.983333333333333,0.0,16.0,22.0,256.69999999999976
PSG,60,0.05,3.45,0.0,2.3000000000000043,7.549999999999912,69.51999999999975
BET,59,0.2542372881355932,15.627118644067796,0.0,48.80000000000001,60.099999999999994,150.52
CLD,59,0.13559322033898305,6.135593220338983,0.0,24.800000000000026,45.49999999999997,65.98000000000003
GCC,59,0.15254237288135594,33.3728813559322,0.0,30.400000000000006,224.29999999999987,549.720000000001
TXK,59,0.2033898305084746,8.135593220338983,0.0,21.400000000000006,38.0,66.88000000000011
RHI,59,0.05084745762711865,8.677966101694915,0.0,0.0,11.199999999999477,203.8400000000001
DIK,58,0.1724137931034483,17.25862068965517,0.0,37.20000000000002,94.09999999999998,268.58
BPT,58,0.20689655172413793,11.206896551724139,0.0,31.10000000000003,43.04999999999999,157.89999999999998
SPS,58,0.20689655172413793,31.93103448275862,0.0,71.2000000000001,195.7,460.49999999999994
SWO,56,0.14285714285714285,10.571428571428571,0.0,21.0,36.75,190.7000000000007
OTH,56,0.23214285714285715,57.517857142857146,0.0,32.0,114.5,1290.9
