ORIGIN,flights,delay_rate,mean_delay,median_delay,p90,p95,p99
EAU,51,0.1568627450980392,20.58823529411765,0.0,39.0,67.0,356.0
JMS,51,0.23529411764705882,24.80392156862745,0.0,63.0,99.0,318.0
FOD,51,0.09803921568627451,6.647058823529412,0.0,9.0,62.5,89.0
EWN,50,0.1,6.3,0.0,14.100000000000001,27.49999999999997,96.93999999999981
INL,50,0.08,7.32,0.0,6.300000000000004,43.39999999999998,131.0199999999998
DDC,50,0.22,40.64,0.0,76.40000000000003,247.89999999999995,596.469999999999
LAF,49,0.14285714285714285,21.857142857142858,0.0,52.000000000000185,160.6,248.75999999999945
SWF,49,0.2653061224489796,15.26530612244898,2.0,41.80000000000001,51.19999999999999,157.71999999999997
TTN,49,0.1836734693877551,18.285714285714285,0.0,45.60000000000005,142.7999999999996,213.27999999999986
RDD,49,0.22448979591836735,13.387755102040817,0.0,31.80000000000001,70.79999999999976,141.03999999999968
SCE,48,0.25,23.770833333333332,0.0,43.500000000000064,66.39999999999998,375.03000000000065
PIB,48,0.1875,21.208333333333332,0.0,79.30000000000038,156.5,196.36
EKO,47,0.0,0.23404255319148937,0.0,0.0,0.0,5.699999999999996
GUF,45,0.06666666666666667,6.288888888888889,0.0,1.2000000000000028,32.599999999999895,124.88000000000022
SCC,43,0.16279069767441862,17.209302325581394,0.0,18.60000000000001,114.5999999999999,269.8199999999996
PSE,42,0.023809523809523808,1.5,0.0,2.0,3.9499999999999957,29.059999999999874
PSM,40,0.2,20.525,1.0,35.2,46.149999999999935,320.53999999999974
SMX,40,0.1,11.075,0.0,14.700000000000038,55.19999999999999,190.14999999999986
FAY,36,0.05555555555555555,5.944444444444445,0.0,0.5,22.75,111.89999999999993
HTS,36,0.5555555555555556,75.25,19.0,169.0,186.5,793.5499999999987
IAG,34,0.058823529411764705,3.3823529411764706,0.0,6.399999999999999,19.149999999999938,44.70000000000002
LBE,33,0.21212121212121213,20.454545454545453,0.0,26.400000000000006,94.59999999999992,283.3999999999999
GTR,32,0.1875,28.21875,0.0,72.10000000000011,137.75,359.90000000000043
BGM,31,0.03225806451612903,1.7096774193548387,0.0,0.0,0.0,37.099999999999966
OAJ,31,0.03225806451612903,4.161290322580645,0.0,0.0,5.5,84.99999999999991
PIH,31,0.03225806451612903,0.6451612903225806,0.0,0.0,0.0,13.999999999999986
PQI,31,0.03225806451612903,3.6129032258064515,0.0,7.0,9.0,51.99999999999996
OME,31,0.22580645161290322,16.548387096774192,0.0,54.0,83.5,171.29999999999993
FMN,31,0.0967741935483871,48.064516129032256,0.0,13.0,228.5,807.8999999999996
SPN,30,0.03333333333333333,1.5666666666666667,0.0,0.0,0.0,33.37000000000004
HGR,30,0.3,27.233333333333334,0.0,108.40000000000005,172.54999999999984,212.78000000000003
BRW,30,0.26666666666666666,23.7,0.0,67.10000000000002,133.6499999999997,238.93000000000006
OTZ,28,0.07142857142857142,1.9642857142857142,0.0,1.8000000000000043,12.499999999999986,28.410000000000007
PBG,27,0.25925925925925924,11.777777777777779,0.0,40.40000000000006,61.8,71.87999999999998
TOL,27,0.1111111111111111,8.518518518518519,0.0,15.600000000000009,40.39999999999998,95.87999999999991
MVY,26,0.23076923076923078,13.0,0.0,29.0,84.0,120.75
WYS,15,0.26666666666666666,15.866666666666667,0.0,48.8,60.19999999999996,79.23999999999998
HYA,14,0.14285714285714285,14.571428571428571,0.0,33.40000000000005,83.79999999999995,139.95999999999992
PPG,13,0.07692307692307693,2.8461538461538463,0.0,12.200000000000003,13.799999999999997,14.759999999999998
STC,9,0.4444444444444444,20.77777777777778,12.0,42.0,44.0,45.6
ADK,9,0.0,1.0,0.0,3.4000000000000004,4.199999999999999,4.84
CKB,9,0.7777777777777778,201.55555555555554,163.0,362.4000000000001,613.1999999999998,813.8399999999999
BIH,4,0.5,13.5,13.5,21.8,22.4,22.88
AKN,3,0.0,0.0,0.0,0.0,0.0,0.0
DLG,3,0.3333333333333333,8.333333333333334,0.0,20.0,22.499999999999996,24.5
